,EN,FR,DE,ES,IT,PO,SC,JP,TC,RU
STRID_PRINTER_DISCONNECTABLE,Printer can be Disconnected.,Printer can be Disconnected.,Imprimante peut être débranché.,La impresora se puede desconectar.,Stampante può essere disconnesso.,Impressora pode ser desligado,打印机连结可移除,プリンタを切断することができます,印表機連結可移除,Принтер может быть отключен
STRID_PAPER_ERROR,Paper Error,Probleme De Papier,Papierfehler,Error De Papel,Errore Carta,Erro De Papel,纸张错误,ペーパーエラー,紙張錯誤,Ошибка бумаги
STRID_PAPER_OUT,Paper is Empty,Impression Annulee,Papierfach ist leer,Papel Vacío,Stampa annullata,Impressão cancelada,纸张耗尽,用紙が空です,無紙張,Бумага закончилась 
STRID_PAPER_LOAD_ERROR,Paper is not Loaded,Il n'y a plus de papier,Kein papier eingelegt,No se ha cargado papel,Mancanza carta,Sem papel,纸张未加载,用紙がセットさ   れていません,紙張未裝載,Бумага не загружена
STRID_PAPER_EJECT_ERROR,Paper is not Ejected,Probleme De Papier,Papierfehler,Error De Papel,Errore Carta,Erro De Papel,纸张未弹出,ペーパーエラー,紙張未彈出,Бумана не выпущена
STRID_PAPER_MEDIA_ERROR,Paper is not Detected,Probleme De Papier,Papierfehler,Error De Papel,Errore Carta,Erro De Papel,纸张未侦测,ペーパーエラー,紙張未偵測,Бумага не распознана
STRID_PAPER_JAMMED,Paper is Jammed,Erreur de support,Papierstau,Papel atascado,Errore supporto,Erro no suporte de dados,纸张堵塞, 用紙詰まりです,夾紙,Зажатие бумаги
STRID_PAPER_NEAR_EMPTY,Paper is Nearly Empty,Bourrage du papier,Papierfach ist fast leer,Poco papel,Carta inceppata,Papel encravado,纸张将要耗尽,用紙がほと    んど空です,紙張將要耗盡,Бумага заканчивается
STRID_PAPER_NOT_SUPPORT,Paper Type is not Supported,Il n'y a presque plus de papier,Papiersorte nicht unterstützt,Tipo de papel no compatible,Carta in fase di esaurimento,Quase sem papel,纸张规格不支持,サポートされてい  ない用紙タイプ,紙張規格不支持,Формат бумаги не поддерживается
STRID_INK_ERROR,Ink Error,Probleme D'encre,Tintenfehler,Error De Tinta,Errore Inchiostro,Erro De Tinteiro,墨水错误,印刷エラー,墨水错误,Ошибка краски 
STRID_INK_EMPTY,Ink is Empty,Ce type de papier ne convient pas,Tinte ist leer,Tinta vacía,Tipo di carta non supportato,Tipo de papel não suportado,墨水耗尽, インクが空です,無墨水,Краска закончилась
STRID_INK_LOW,Ink is Low,Il n'y a plus d'encre,Tinte ist fast leer,Poca tinta,Mancanza inchiostro,Tinteiro vazio,墨水将要耗尽,インクが少なく   なっています,墨水將要耗盡,Краска заканчивается
STRID_INK_WASTE,Waste Ink Reservoir Full,Probleme D'encre,Tintenfehler,Error De Tinta,Errore Inchiostro,Erro De Tinteiro,墨水错误,インク消耗エラー,墨水錯誤,Ошибка краски 
STRID_HW_ERROR,Hardware Error,Erreur matérielle d'imprimante,Hardware-Fehler des Druckers,Error en hardware de la impresora,Errore hardware stampante,Erro de hardware,打印机错误,プリンター ハードウェアエラ,印表機錯誤,Ошибка принтера
STRID_HW_FATAL,Fatal Error,Erreur fatale,Schwerwiegender Fehler,Error grave,Errore irreversibile,Erro Fatal,严重打印机错误,致命的エラー,嚴重印表機錯誤,Среьезная ошибка принтера
STRID_HW_SERVICE_CALL,Service Call,Maintenance requise,Kundendienst anrufen,Llame al servicio técnico,Contattare assistenza tecnica,Chamada de serviço,请联络硬体厂商,カスタマーサービスに 連絡してください,請聯絡印表機廠商,Свяжитесь с центром по ремонту
STRID_HW_UNAVAILABLE,Printer Unavailable,Imprimante indisponible,Drucker ist nicht verfügbar,Impresora no disponible,Stampante non disponibile,Impressora não está disponível,找不到打印机,プリンターを使用できません,找不到印表機,Принтер не доступен
STRID_HW_BUSY,Printer is Busy,Imprimante occupée,Drucker ist ausgelastet,Impresora ocupada,Stampante in uso,A impressora está ocupada,打印机忙碌中,プリンタービジー,印表機忙碌中,Принтер занят
STRID_HW_LEVER,Lever Error,Erreur de levier,Hebelfehler,Error de la palanca,Errore leva,Alavanca de erro,打印机错误,レバーエラー,印表機錯誤,Ошибка принтера
STRID_HW_COVER_OPEN,Cover is Open,Position Défectueuse,Abdeckungoffen,Cubierta abierta,Posizione livello non corretta,Nível posição não correcto,封盖未闭合,カバーが開    いています,印表機上蓋未關閉,Открыта крышка
STRID_HW_NO_MARKING_AGENT,No Marking Agent,Aucun agent de marquage,Kein Kennzeichnungsmittel vorhanden,No hay agente de marca,Nessun agente di marcatura,Brak czynnika znakującego,打印机错误,印刷エラー,印表機錯誤,Ошибка принтера
STRID_HW_INK_COVER_OPEN,Ink Cover is Open,de marquage,Tintenklappe offen,Cubierta para tinta abierta,Nessun agente di marcatura,Nenhum agente detectado,墨水盒盖未闭合,インクカバーが   開いています,墨水盒蓋未關閉,Крышка краски открыта
STRID_HW_NO_INK_CARTRIDGE,Ink Cartridge is not Set,Couvercle d'encre ouvert,Keine tintenpatrone,No hay cartucho de tinta,Coperchio inchiostro aperto,Tampa tinteiro aberta,墨粉盒未装载,インクカート    リッジなし,墨水盒未裝載,Картридж краски не установлен
STRID_FILE_ERROR,File Error,Erreur De Fichier,Dateifehler,Error De Archivo,Errore File,Erro de arquivo,照片错误,ファイルエラー,照片錯誤,Ошибка файла
STRID_FILE_PRINT_INFO,Print Info Error,Info Impr,Druckinfo,Inf. Impr.,Info Stmp,Info Print Error,打印信息错误,ファイルが大きすぎます,列印資訊錯誤,Ошибка информации печати
STRID_FILE_DECODE_ERROR,File Decode Error,Erreur de décodage du fichier,Fehler bei der De-kodierung der Datei,Error de decodif. de archivo,Errore decodifica file,Print Error,档案解码错误,ファイルデコードエラー,檔案解碼錯誤,Ошибка раскодирования файла
STRID_UNKNOW_ERROR,Unknow Error,Erreur impression,Druck fehler,Error de impresión,Stampa errore,Print Error,未知错误,印刷エラー,未知錯誤,Неизвестная ошибка
STRID_XML_SYNTAX_ERROR,XML Syntax Error,Erreur impression,Druck fehler,Error de impresión,Stampa errore,Print Error,XML语法错误,XMLエラー,XML語法錯誤,Ошибка  XML
STRID_MOTION_DET,Motion Detection,Détection de mouvement,Movement Detection,Detección de movimiento,Movement Detection,Detecção de Movimento,运动检测,こン檢測,運動檢測,Распознавание движения
STRID_FACE_DET,Face Detection,Détection de visage,Gesichtserkennung,Detección de la cara,VoltoRilevamento,Detecção de Rosto,人脸识别,顔検出,人臉偵測,Распознавание лица
STRID_SMILE_DET,Smile Detection,Détection de Smiley ,Smile-Erkennung,Detección de sonrisas,Sorriso di rilevamento,Detecção de sorriso,笑脸识别,笑質檢測,笑臉偵測,Распознавание улыбки
STRID_ANTI_SHAKING,Anti-Shaking,Stabilisation,Stabilisierung,Estabilización,Stabilizzazione,Anti-Vibração,防手震,シェイク,防手震,Стабилизация
STRID_NO_MOVIE,No Movie,Aucun Film,Nr. Movie,Ninguna película,Nessuna Movie ,No Filme,无影片,いいえムービー,無錄影,Нет видео
STRID_MP3PLAY,MP3,MP3,MP3,MP3,MP3,MP3,MP3,MP3,MP3,MP3
STRID_NO_MP3FILE,No MP3 File,Aucun fichier MP3,Kein MP3-Datei,N de archivos MP3,Nessun file MP3,Nenhum arquivo MP3,没有MP3文件,いいえMP3ファイル,沒有MP3檔案,Нет МР3 файла
STRID_SENSOR_ROTATE,Image rotation,Rotation de l'image ,Bilddrehung ,Rotación de imagen ,Rotazione immagine ,Rotação de imagem ,影像旋转,画像回転,影像旋轉,Поворот изображения
STRID_RECORD,Video Record,Disque de vidéo,Videoaufzeichnung,Expediente del vídeo,Registrazione televisiva,Registro do vídeo,录影,録画,錄影,Показатель видео
STRID_RECORD_AUDIO,Record Audio,Acoustique record,Rekordaudio,Audio de registro,Audio record,Áudio gravado,录影音频,録画な音声,錄影聲音,Рекордное аудио
STRID_LED_SETTING,Lamp setting,Arrangement de lampe,Het plaatsen van de lamp,Ajuste de la lámpara,Regolazione della lampada,Ajuste da lâmpada,夜光灯设定,ランプの設定,夜光燈設定,Установка светильника
STRID_GOOD_BYE,Goodbye,AU REVOIR,Wiedersehen,ADIÓS,arriverderci,Até logo,再见,さようなら,再見,до свидания
STRID_PLEASE_INSERT_SD,PLEASE INSERT SD CARD,S'IL VOUS PLAÎT INSERT SD CARD,SETZEN SIE BITTE SD-KARTE EIN,Inserte tarjeta SD,SI PREGA DI INSERIRE SCHEDA SD,INTRODUZA POR FAVOR O CARTÃO DO SD,请插入SD卡,SDカードを挿入してください,請插入SD卡,"Пожалуйста, вставьте SD-КАРТЫ"
STRID_IR_LED,IR LED,IR LED,IR LED,IR LED,IR LED,IR LED,IR LED,IR LED,IR LED,IR LED
STRID_Microphone,Microphone,microphone,Mikrofon,micrófono,microfono,microfone,microfone,microfone,microfone,микрофон
STRID_CLUSTER_WRONG,Custer size wrong.\nPlease format,Custer size wrong.\nPlease format,Custer size wrong.\nPlease format,Custer size wrong.\nPlease format,Custer size wrong.\nPlease format,Custer size wrong.\nPlease format,Custer size wrong.\nPlease format,Custer size wrong.\nPlease format,Custer size wrong.\nPlease format,Custer size wrong.\nPlease format
STRID_SD_CLASS6,Need Class6 or Higher SD Card,Need Class6 or Higher SD Card,Need Class6 or Higher SD Card,Need Class6 or Higher SD Card,Need Class6 or Higher SD Card,Need Class6 or Higher SD Card,Need Class6 or Higher SD Card,Need Class6 or Higher SD Card,Need Class6 or Higher SD Card,Need Class6 or Higher SD Card
STRID_SD_CLASS4,Need Class4 or Higher SD Card,Need Class4 or Higher SD Card,Need Class4 or Higher SD Card,Need Class4 or Higher SD Card,Need Class4 or Higher SD Card,Need Class4 or Higher SD Card,Need Class4 or Higher SD Card,Need Class4 or Higher SD Card,Need Class4 or Higher SD Card,Need Class4 or Higher SD Card
STRID_HDR,HDR,HDR,HDR,HDR,HDR,HDR,HDR,HDR,HDR,HDR
STRID_TIME_LPASE,Time Lapse,Time Lapse,Time Lapse,Time Lapse,Time Lapse,Time Lapse,Time Lapse,Time Lapse,Time Lapse,Time Lapse
STRID_100ms,100 ms,100 ms,100 ms,100 ms,100 ms,100 ms,100 ms,100 ms,100 ms,100 ms
STRID_200ms,200 ms,200 ms,200 ms,200 ms,200 ms,200 ms,200 ms,200 ms,200 ms,200 ms
STRID_500ms,500 ms,500 ms,500 ms,500 ms,500 ms,500 ms,500 ms,500 ms,500 ms,500 ms
STRID_UNDERSCORE,_,_,_,_,_,_,_,_,_,_
STRID_WIFI,WiFi,WiFi,WiFi,WiFi,WiFi,WiFi,WiFi,WiFi,WiFi,WiFi
STRID_WIFI_OFF,WiFi_OFF,WiFi_OFF,WiFi_OFF,WiFi_OFF,WiFi_OFF,WiFi_OFF,WiFi_OFF,WiFi_OFF,WiFi_OFF,WiFi_OFF
STRID_REFRESH,Refresh,Refresh,Refresh,Refresh,Refresh,Refresh,Refresh,Refresh,Refresh,Refresh
STRID_WIFI_AP_MODE,AP mode,AP mode,AP mode,AP mode,AP mode,AP mode,AP mode,AP mode,AP mode,AP mode
STRID_WIFI_ClIENT_MODE,Client mode,Client mode,Client mode,Client mode,Client mode,Client mode,Client mode,Client mode,Client mode,Client mode
STRID_FILL_ASCII,"q1234567890~!@#$%^&*()-_=+[]{}|\/:;'"",.<>?",,,,,,,,,
STRID_MODE_SWITCH,Switch Mode,Switch Mode,Switch Mode,Switch Mode,Switch Mode,Switch Mode,Switch Mode,Switch Mode,Switch Mode,Switch Mode
STRID_2880x2160P24,2880x2160P24,2880x2160P24,2880x2160P24,2880x2160P24,2880x2160P24,2880x2160P24,2880x2160P24,2880x2160P24,2880x2160P24,2880x2160P24
STRID_2560X1440P30,2560x1440P30,2560x1440P30,2560x1440P30,2560x1440P30,2560x1440P30,2560x1440P30,2560x1440P30,2560x1440P30,2560x1440P30,2560x1440P30
STRID_2304x1296P30,2304x1296P30,2304x1296P30,2304x1296P30,2304x1296P30,2304x1296P30,2304x1296P30,2304x1296P30,2304x1296P30,2304x1296P30,2304x1296P30
STRID_1080P96,1080P96,1080P96,1080P96,1080P96,1080P96,1080P96,1080P96,1080P96,1080P96,1080P96
STRID_1080P60,1080P60,1080P60,1080P60,1080P60,1080P60,1080P60,1080P60,1080P60,1080P60,1080P60
STRID_1080P_DUAL,1080P_DUAL,1080P_DUAL,1080P_DUAL,1080P_DUAL,1080P_DUAL,1080P_DUAL,1080P_DUAL,1080P_DUAL,1080P_DUAL,1080P_DUAL
STRID_720P120WXH,720P120,720P120,720P120,720P120,720P120,720P120,720P120,720P120,720P120,720P120
STRID_WDR,WDR,WDR,WDR,WDR,WDR,WDR,WDR,WDR,WDR,WDR
STRID_RSC,RSC,RSC,RSC,RSC,RSC,RSC,RSC,RSC,RSC,RSC
STRID_G_SENSOR,G Sensor,G Sensor,G Sensor,G Sensor,G Sensor,G Sensor,G Sensor,G Sensor,G Sensor,G Sensor
STRID_1SEC,1 Sec,1 Sec,1 Sec,1 Sec,1 Sec,1 Sec,1 Sec,1 Sec,1 Sec,1 Sec
STRID_30SEC,30 Sec,30 Sec,30 Sec,30 Sec,30 Sec,30 Sec,30 Sec,30 Sec,30 Sec,30 Sec
STRID_1HOUR,1 Hour,1 Hour,1 Hour,1 Hour,1 Hour,1 Hour,1 Hour,1 Hour,1 Hour,1 Hour
STRID_2HOUR,2 Hour,2 Hour,2 Hour,2 Hour,2 Hour,2 Hour,2 Hour,2 Hour,2 Hour,2 Hour
STRID_3HOUR,3 Hour,3 Hour,3 Hour,3 Hour,3 Hour,3 Hour,3 Hour,3 Hour,3 Hour,3 Hour
STRID_1DAY,1 Day,1 Day,1 Day,1 Day,1 Day,1 Day,1 Day,1 Day,1 Day,1 Day
STRID_IRCUT,IR Cut,IR Cut,IR Cut,IR Cut,IR Cut,IR Cut,IR Cut,IR Cut,IR Cut,IR Cut
STRID_DUAL_CAM,Dual Cam Display,Dual Cam Display,Dual Cam Display,Dual Cam Display,Dual Cam Display,Dual Cam Display,Dual Cam Display,Dual Cam Display,Dual Cam Display,Dual Cam Display
STRID_FRONT,Front,Front,Front,Front,Front,Front,Front,Front,Front,Front
STRID_BEHIND,Behind,Behind,Behind,Behind,Behind,Behind,Behind,Behind,Behind,Behind
STRID_BOTH,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both
STRID_PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ
STRID_URGENT_PROTECT_AUTO,Auto Urgent Protect,Auto Urgent Protect,Auto Urgent Protect,Auto Urgent Protect,Auto Urgent Protect,Auto Urgent Protect,Auto Urgent Protect,Auto Urgent Protect,Auto Urgent Protect,Auto Urgent Protect
STRID_URGENT_PROTECT_MANUAL,Manual Urgent Protect,Manual Urgent Protect,Manual Urgent Protect,Manual Urgent Protect,Manual Urgent Protect,Manual Urgent Protect,Manual Urgent Protect,Manual Urgent Protect,Manual Urgent Protect,Manual Urgent Protect
STRID_PIM,PIM,PIM,PIM,PIM,PIM,PIM,PIM,PIM,PIM,PIM
STRID_FCW,FCW,FCW,FCW,FCW,FCW,FCW,FCW,FCW,FCW,FCW
STRID_LDWS,LDWS,LDWS,LDWS,LDWS,LDWS,LDWS,LDWS,LDWS,LDWS,LDWS
STRID_DDD,DDD,DDD,DDD,DDD,DDD,DDD,DDD,DDD,DDD,DDD
STRID_ADAS,ADAS,ADAS,ADAS,ADAS,ADAS,ADAS,ADAS,ADAS,ADAS,ADAS
STRID_REC_RECOVERY,File Recovery,File Recovery,File Recovery,File Recovery,File Recovery,File Recovery,File Recovery,File Recovery,File Recovery,File Recovery
STRID_SELFTIMER,Self Timer,Self Timer,Self Timer,Self Timer,Self Timer,Self Timer,Self Timer,Self Timer,Self Timer,Self Timer
STRID_PORTRIAL,Portrial,Portrial,Portrial,Portrial,Portrial,Portrial,Portrial,Portrial,Portrial,Portrial
STRID_LANDSCPE,Landscpe,Landscpe,Landscpe,Landscpe,Landscpe,Landscpe,Landscpe,Landscpe,Landscpe,Landscpe
STRID_0,0,0,0,0,0,0,0,0,0,0
STRID_1,1,1,1,1,1,1,1,1,1,1
STRID_2,2,2,2,2,2,2,2,2,2,2
STRID_3,3,3,3,3,3,3,3,3,3,3
STRID_4,4,4,4,4,4,4,4,4,4,4
STRID_5,5,5,5,5,5,5,5,5,5,5
STRID_6,6,6,6,6,6,6,6,6,6,6
STRID_7,7,7,7,7,7,7,7,7,7,7
STRID_8,8,8,8,8,8,8,8,8,8,8
STRID_9,9,9,9,9,9,9,9,9,9,9
STRID_10,10,10,10,10,10,10,10,10,10,10
STRID_CLOUD,Cloud,Cloud,Cloud,Cloud,Cloud,Cloud,Cloud,Cloud,Cloud,Cloud
STRID_FW_UPDATE,Firmware Update,Firmware Update,Firmware Update,Firmware Update,Firmware Update,Firmware Update,Firmware Update,Firmware Update,Firmware Update,Firmware Update
STRID_UVC,UVC,UVC,UVC,UVC,UVC,UVC,UVC,UVC,UVC,UVC
STRID_RESUME,Resume,Resume,Resume,Resume,Resume,Resume,Resume,Resume,Resume,Resume
STRID_MCTF,MCTF,,,,,,,,,
STRID_EDGE,Edge,,,,,,,,,
STRID_NR,NR,,,,,,,,,
STRID_WIFI_ETH,WiFi/ETH,,,,,,,,,
STRID_ISO6400,6400,,,,,,,,,
STRID_ISO12800,12800,,,,,,,,,
STRID_FRONT_2880x2160P50,UHD P50,,,,,,,,,
STRID_FRONT_3840x2160P30,UHD P30,,,,,,,,,
STRID_FRONT_2880x2160P24,UHD P24,,,,,,,,,
STRID_FRONT_2704x2032P60,2.7K P60,,,,,,,,,
STRID_FRONT_2560x1440P80,QHD P80,,,,,,,,,
STRID_FRONT_2560x1440P60,QHD P60,,,,,,,,,
STRID_FRONT_2560x1440P30,QHD P30,,,,,,,,,
STRID_FRONT_2304x1296P30,3MHD P30,,,,,,,,,
STRID_FRONT_1920x1080P120,FHD P120,,,,,,,,,
STRID_FRONT_1920x1080P96,FHD P96,,,,,,,,,
STRID_FRONT_1920x1080P60,FHD P60,,,,,,,,,
STRID_FRONT_1920x1080P30,FHD P30,,,,,,,,,
STRID_FRONT_1280x720P240,HD P240,,,,,,,,,
STRID_FRONT_1280x720P120,HD P120,,,,,,,,,
STRID_FRONT_1280x720P60,HD P60,,,,,,,,,
STRID_FRONT_1280x720P30,HD P30,,,,,,,,,
STRID_FRONT_848x480P30,WVGA P30,,,,,,,,,
STRID_FRONT_640x480P240,VGA P240,,,,,,,,,
STRID_FRONT_640x480P30,VGA P30,,,,,,,,,
STRID_FRONT_320x240P30,QVGA P30,,,,,,,,,
STRID_DUAL_2560x1440P30_1280x720P30,QHD P30+HD P30,,,,,,,,,
STRID_DUAL_2560x1440P30_1920x1080P30,QHD P30+FHD P30,,,,,,,,,
STRID_DUAL_2304x1296P30_1280x720P30,3MHD P30+HD P30,,,,,,,,,
STRID_DUAL_1080P30_1080P30,FHD P30+FHD P30,,,,,,,,,
STRID_DUAL_1920x1080P30_1280x720P30,FHD P30+HD P30,,,,,,,,,
STRID_DUAL_1920x1080P30_848x480P30,FHD P30+WVGA P30,,,,,,,,,
STRID_CLONE_1920x1080P30_1920x1080P30,FHD P30+FHD P30,,,,,,,,,
STRID_CLONE_1920x1080P30_1280x720P30,FHD P30+HD P30,,,,,,,,,
STRID_CLONE_2560x1440P30_848x480P30,QHD P30+WVGA P30,,,,,,,,,
STRID_CLONE_2304x1296P30_848x480P30,3MHD P30+WVGA P30,,,,,,,,,
STRID_CLONE_1920x1080P60_848x480P30,FHD P60+WVGA P30,,,,,,,,,
STRID_CLONE_1920x1080P60_640x360P30,FHD P60+VGA P30,,,,,,,,,
STRID_CLONE_1920x1080P30_848x480P30,FHD P30+WVGA P30,,,,,,,,,
STRID_CLONE_2048x2048P30_480x480P30,2048x2048 P30 + 480x480 P30,,,,,,,,,
STRID_BOTH2,Both2,,,,,,,,,
STRID_CAP_SIDE,SideBySide,,,,,,,,,
STRID_CAP_BURST_30,Burst 30,,,,,,,,,
STRID_5MWXH_USR,5M 2992x1696,,,,,,,,,
STRID_CODEC,Codec,,,,,,,,,
STRID_MJPG,MJPG,,,,,,,,,
STRID_H264,H264,,,,,,,,,
STRID_H265,H265,,,,,,,,,
STRID_2880X2160P50,,,,,,,,,,
STRID_3840X2160P30,,,,,,,,,,
